p,a,y_emp,y_pred,type
0.4,0.7626262626262627,,5.9860572456163716e-05,pred_curve
0.4,0.7828282828282829,,6.141205492601967e-05,pred_curve
0.4,0.803030303030303,,6.296180988150467e-05,pred_curve
0.4,0.8232323232323233,,6.45098402062917e-05,pred_curve
0.4,0.8434343434343434,,6.60561487776391e-05,pred_curve
0.4,0.8636363636363636,,6.76007384664086e-05,pred_curve
0.4,0.8838383838383839,,6.914361213708283e-05,pred_curve
0.4,0.9040404040404041,,7.068477264778323e-05,pred_curve
0.4,0.9242424242424243,,7.222422285028759e-05,pred_curve
0.4,0.9444444444444444,,7.376196559004762e-05,pred_curve
0.4,0.9646464646464648,,7.529800370620664e-05,pred_curve
0.4,0.9848484848484849,,7.683234003161689e-05,pred_curve
0.4,1.0050505050505052,,7.836497739285695e-05,pred_curve
0.4,1.0252525252525253,,7.989591861024921e-05,pred_curve
0.4,1.0454545454545454,,8.14251664978771e-05,pred_curve
0.4,1.0656565656565657,,8.295272386360232e-05,pred_curve
0.4,1.0858585858585859,,8.447859350908202e-05,pred_curve
0.4,1.106060606060606,,8.600277822978604e-05,pred_curve
0.4,1.1262626262626263,,8.752528081501379e-05,pred_curve
0.4,1.1464646464646466,,8.904610404791143e-05,pred_curve
0.4,1.1666666666666667,,9.056525070548876e-05,pred_curve
0.4,1.1868686868686869,,9.208272355863605e-05,pred_curve
0.4,1.2070707070707072,,9.359852537214116e-05,pred_curve
0.4,1.2272727272727273,,9.51126589047059e-05,pred_curve
0.4,1.2474747474747474,,9.662512690896315e-05,pred_curve
0.4,1.2676767676767677,,9.81359321314934e-05,pred_curve
0.4,1.287878787878788,,9.964507731284131e-05,pred_curve
0.4,1.3080808080808082,,0.00010115256518753232,pred_curve
0.4,1.3282828282828283,,0.00010265839848408929,pred_curve
0.4,1.3484848484848486,,0.00010416257992504875,pred_curve
0.4,1.3686868686868687,,0.0001056651122269775,pred_curve
0.4,1.3888888888888888,,0.0001071659981004888,pred_curve
0.4,1.4090909090909092,,0.00010866524025025885,pred_curve
0.4,1.4292929292929295,,0.00011016284137504283,pred_curve
