a,p,y_emp,y_pred,type
0.7,0.5,,6.062516201426309e-05,pred_curve
0.7,0.509090909090909,,6.090360834694036e-05,pred_curve
0.7,0.5181818181818182,,6.117472014366139e-05,pred_curve
0.7,0.5272727272727272,,6.143878343504061e-05,pred_curve
0.7,0.5363636363636364,,6.169606956980119e-05,pred_curve
0.7,0.5454545454545454,,6.194683614486262e-05,pred_curve
0.7,0.5545454545454546,,6.219132786560862e-05,pred_curve
0.7,0.5636363636363636,,6.24297773423742e-05,pred_curve
0.7,0.5727272727272728,,6.26624058286017e-05,pred_curve
0.7,0.5818181818181818,,6.288942390558941e-05,pred_curve
0.7,0.5909090909090909,,6.311103211828734e-05,pred_curve
0.7,0.6,,6.332742156617486e-05,pred_curve
0.7,0.609090909090909,,6.353877445287966e-05,pred_curve
0.7,0.6181818181818182,,6.374526459786024e-05,pred_curve
0.7,0.6272727272727272,,6.394705791317212e-05,pred_curve
0.7,0.6363636363636364,,6.414431284806642e-05,pred_curve
0.7,0.6454545454545454,,6.433718080392452e-05,pred_curve
0.7,0.6545454545454545,,6.452580652181256e-05,pred_curve
0.7,0.6636363636363636,,6.471032844474084e-05,pred_curve
0.7,0.6727272727272727,,6.489087905653321e-05,pred_curve
0.7,0.6818181818181818,,6.506758519904992e-05,pred_curve
0.7,0.6909090909090908,,6.524056836935999e-05,pred_curve
0.7,0.7,,6.540994499832626e-05,pred_curve
0.7,0.709090909090909,,6.557582671194553e-05,pred_curve
0.7,0.7181818181818181,,6.57383205766763e-05,pred_curve
0.7,0.7272727272727272,,6.589752932988743e-05,pred_curve
0.7,0.7363636363636363,,6.605355159646967e-05,pred_curve
0.7,0.7454545454545454,,6.620648209257012e-05,pred_curve
0.7,0.7545454545454545,,6.635641181733364e-05,pred_curve
0.7,0.7636363636363636,,6.650342823346694e-05,pred_curve
0.7,0.7727272727272727,,6.664761543737843e-05,pred_curve
0.7,0.7818181818181817,,6.678905431958893e-05,pred_curve
0.7,0.7909090909090909,,6.692782271605634e-05,pred_curve
0.7,0.7999999999999999,,6.706399555100904e-05,pred_curve
0.7,0.8090909090909091,,6.719764497183882e-05,pred_curve
0.7,0.8181818181818181,,6.732884047656354e-05,pred_curve
0.7,0.8272727272727273,,6.745764903433264e-05,pred_curve
0.7,0.8363636363636363,,6.75841351994147e-05,pred_curve
0.7,0.8454545454545453,,6.770836121907442e-05,pred_curve
0.7,0.8545454545454545,,6.783038713571807e-05,pred_curve
0.7,0.8636363636363635,,6.795027088365936e-05,pred_curve
0.7,0.8727272727272727,,6.806806838083348e-05,pred_curve
0.7,0.8818181818181817,,6.818383361576434e-05,pred_curve
0.7,0.8909090909090909,,6.829761873006928e-05,pred_curve
0.7,0.8999999999999999,,6.840947409676588e-05,pred_curve
0.7,0.9090909090909091,,6.851944839462822e-05,pred_curve
0.7,0.9181818181818181,,6.862758867882307e-05,pred_curve
0.7,0.9272727272727272,,6.873394044804139e-05,pred_curve
0.7,0.9363636363636363,,6.883854770832616e-05,pred_curve
0.7,0.9454545454545454,,6.894145303378506e-05,pred_curve
0.7,0.9545454545454545,,6.904269762436354e-05,pred_curve
0.7,0.9636363636363636,,6.914232136084322e-05,pred_curve
0.7,0.9727272727272727,,6.92403628572198e-05,pred_curve
0.7,0.9818181818181817,,6.93368595106051e-05,pred_curve
0.7,0.9909090909090909,,6.943184754878846e-05,pred_curve
0.7,1.0,,6.952536207558487e-05,pred_curve
0.9,0.1,3.199232451025359e-05,3.423251743464848e-05,observed
0.9,0.2,5.06635174719451e-05,5.187866345820406e-05,observed
0.9,0.3,6.392585427242329e-05,6.264225351422693e-05,observed
0.9,0.4,7.148945962372418e-05,6.989280134439836e-05,observed
0.9,0.5,7.664638525921014e-05,7.510890392530391e-05,observed
0.9,0.6,8.020117321650188e-05,7.904148331535453e-05,observed
0.9,0.7,8.254476917216529e-05,8.21123908238e-05,observed
0.9,0.8,8.457164189641052e-05,8.457686634023979e-05,observed
0.9,0.9,8.480249006132127e-05,8.659840110637404e-05,observed
0.9,1.0,8.671267622123178e-05,8.828656351050985e-05,observed
0.9,0.1,,3.423251743464848e-05,pred_curve
0.9,0.1090909090909091,,3.628980235295308e-05,pred_curve
0.9,0.1181818181818182,,3.823406725779612e-05,pred_curve
0.9,0.1272727272727273,,4.007437655033465e-05,pred_curve
0.9,0.13636363636363635,,4.181885056278334e-05,pred_curve
0.9,0.14545454545454545,,4.347478534686517e-05,pred_curve
0.9,0.15454545454545454,,4.504875467439666e-05,pred_curve
0.9,0.16363636363636364,,4.6546697257205476e-05,pred_curve
0.9,0.17272727272727273,,4.797399162625866e-05,pred_curve
0.9,0.18181818181818182,,4.9335520660190866e-05,pred_curve
0.9,0.19090909090909092,,5.063572739487562e-05,pred_curve
0.9,0.2,,5.187866345820406e-05,pred_curve
0.9,0.2090909090909091,,5.30680312425117e-05,pred_curve
0.9,0.2181818181818182,,5.420722073936223e-05,pred_curve
0.9,0.22727272727272727,,5.529934180857118e-05,pred_curve
0.9,0.23636363636363636,,5.6347252528365116e-05,pred_curve
0.9,0.24545454545454545,,5.735358417090183e-05,pred_curve
0.9,0.2545454545454545,,5.832076326268199e-05,pred_curve
0.9,0.26363636363636367,,5.9251031119233024e-05,pred_curve
0.9,0.2727272727272727,,6.014646118511781e-05,pred_curve
0.9,0.28181818181818186,,6.1008974461642064e-05,pred_curve
0.9,0.2909090909090909,,6.184035326386184e-05,pred_curve
0.9,0.3,,6.264225351422693e-05,pred_curve
0.9,0.3090909090909091,,6.341621575130147e-05,pred_curve
0.9,0.3181818181818182,,6.416367500756135e-05,pred_curve
0.9,0.32727272727272727,,6.488596968952991e-05,pred_curve
0.9,0.33636363636363636,,6.558434957586348e-05,pred_curve
0.9,0.34545454545454546,,6.625998303393757e-05,pred_curve
0.9,0.3545454545454545,,6.691396354259336e-05,pred_curve
0.9,0.36363636363636365,,6.75473155976451e-05,pred_curve
0.9,0.3727272727272727,,6.816100006723319e-05,pred_curve
0.9,0.38181818181818183,,6.875591905590324e-05,pred_curve
0.9,0.3909090909090909,,6.933292032919739e-05,pred_curve
0.9,0.4,,6.989280134439836e-05,pred_curve
0.9,0.40909090909090906,,7.043631292772864e-05,pred_curve
0.9,0.4181818181818182,,7.096416263366235e-05,pred_curve
0.9,0.42727272727272725,,7.147701781795507e-05,pred_curve
0.9,0.4363636363636364,,7.19755084524565e-05,pred_curve
0.9,0.44545454545454544,,7.246022970666948e-05,pred_curve
0.9,0.4545454545454546,,7.29317443182989e-05,pred_curve
0.9,0.4636363636363636,,7.339058477264174e-05,pred_curve
0.9,0.47272727272727266,,7.38372553085639e-05,pred_curve
0.9,0.4818181818181818,,7.427223376695143e-05,pred_curve
0.9,0.49090909090909085,,7.46959732958813e-05,pred_curve
0.9,0.5,,7.510890392530391e-05,pred_curve
0.9,0.509090909090909,,7.551143402274052e-05,pred_curve
0.9,0.5181818181818182,,7.590395164035415e-05,pred_curve
0.9,0.5272727272727272,,7.628682576273469e-05,pred_curve
0.9,0.5363636363636364,,7.666040746383221e-05,pred_curve
0.9,0.5454545454545454,,7.702503098066323e-05,pred_curve
0.9,0.5545454545454546,,7.738101471069236e-05,pred_curve
0.9,0.5636363636363636,,7.772866213914488e-05,pred_curve
0.9,0.5727272727272728,,7.80682627019269e-05,pred_curve
0.9,0.5818181818181818,,7.840009258930999e-05,pred_curve
0.9,0.5909090909090909,,7.872441549507055e-05,pred_curve
0.9,0.6,,7.904148331535453e-05,pred_curve
0.9,0.609090909090909,,7.935153680116036e-05,pred_curve
0.9,0.6181818181818182,,7.965480616799184e-05,pred_curve
0.9,0.6272727272727272,,7.995151166592566e-05,pred_curve
0.9,0.6363636363636364,,8.024186411306007e-05,pred_curve
0.9,0.6454545454545454,,8.052606539506006e-05,pred_curve
0.9,0.6545454545454545,,8.080430893328631e-05,pred_curve
