model,metric,time,mean,ci_low,ci_high
persistent 0.25,S1,60.0,1084.37,1080.2494626356124,1088.4905373643874
persistent 0.25,S1,61.0,1089.85,1085.7385395403687,1093.961460459631
persistent 0.25,S1,62.0,1094.99,1090.8356204831407,1099.1443795168593
persistent 0.25,S1,63.0,1100.62,1096.3131523528034,1104.9268476471964
persistent 0.25,S1,64.0,1105.97,1101.5869123394575,1110.3530876605425
persistent 0.25,S1,65.0,1111.56,1107.1234236397415,1115.9965763602584
persistent 0.25,S1,66.0,1117.27,1112.8137411222579,1121.726258877742
persistent 0.25,S1,67.0,1122.94,1118.4356753146437,1127.4443246853564
persistent 0.25,S1,68.0,1128.69,1124.201392515051,1133.178607484949
persistent 0.25,S1,69.0,1134.57,1130.0447523711264,1139.0952476288735
persistent 0.25,S1,70.0,1140.57,1135.9857126941447,1145.1542873058552
persistent 0.25,S1,71.0,1146.06,1141.4424352276696,1150.6775647723302
persistent 0.25,S1,72.0,1151.79,1147.1313168446632,1156.4486831553368
persistent 0.25,S1,73.0,1157.34,1152.6575615704135,1162.0224384295864
persistent 0.25,S1,74.0,1163.36,1158.6544725038987,1168.0655274961011
persistent 0.25,S1,75.0,1169.13,1164.3933923180268,1173.8666076819734
persistent 0.25,S1,76.0,1174.85,1170.1146442775455,1179.5853557224543
persistent 0.25,S1,77.0,1180.42,1175.6736104888541,1185.166389511146
persistent 0.25,S1,78.0,1186.44,1181.6645018174736,1191.2154981825265
persistent 0.25,S1,79.0,1192.31,1187.4934507278224,1197.1265492721775
persistent 0.25,S1,80.0,1198.43,1193.5202093852788,1203.3397906147213
persistent 0.25,S1,81.0,1204.42,1199.4927797357,1209.3472202643002
persistent 0.25,S1,82.0,1210.99,1206.0042727348941,1215.975727265106
persistent 0.25,S1,83.0,1217.21,1212.1928659701846,1222.2271340298155
persistent 0.25,S1,84.0,1223.37,1218.2953156052156,1228.4446843947842
persistent 0.25,S1,85.0,1229.64,1224.4907837208666,1234.7892162791336
persistent 0.25,S1,86.0,1235.97,1230.7618186053096,1241.1781813946905
persistent 0.25,S1,87.0,1242.12,1236.8503544050318,1247.389645594968
persistent 0.25,S1,88.0,1248.34,1243.0505142074205,1253.6294857925793
persistent 0.25,S1,89.0,1254.99,1249.5926531173066,1260.3873468826935
persistent 0.25,S1,90.0,1261.09,1255.6032661561605,1266.5767338438393
persistent 0.25,S1,91.0,1267.34,1261.764927711625,1272.9150722883749
persistent 0.25,S1,92.0,1273.7,1268.10767343911,1279.2923265608902
persistent 0.25,S1,93.0,1280.14,1274.481897408516,1285.7981025914842
persistent 0.25,S1,94.0,1287.24,1281.5288514875099,1292.9511485124901
persistent 0.25,S1,95.0,1293.7,1287.9261850435337,1299.4738149564664
persistent 0.25,S1,96.0,1299.71,1293.8204851999335,1305.5995148000666
persistent 0.25,S1,97.0,1306.38,1300.3538733473367,1312.4061266526635
persistent 0.25,S1,98.0,1313.01,1306.9431398100796,1319.0768601899204
persistent 0.25,S1,99.0,1319.86,1313.7648376720185,1325.9551623279813
persistent 0.25,S1,100.0,1326.26,1320.1970346657063,1332.3229653342937
persistent 0.25,S1,101.0,1332.42,1326.2966894758347,1338.5433105241655
persistent 0.25,S1,102.0,1339.11,1332.8680227971895,1345.3519772028103
persistent 0.25,S1,103.0,1345.61,1339.3279917540308,1351.892008245969
persistent 0.25,S1,104.0,1352.42,1346.0953737893337,1358.7446262106664
persistent 0.25,S1,105.0,1358.83,1352.4323622780107,1365.2276377219891
persistent 0.25,S1,106.0,1366.09,1359.5859484615705,1372.5940515384293
persistent 0.25,S1,107.0,1372.96,1366.3020632693383,1379.6179367306618
persistent 0.25,S1,108.0,1379.45,1372.7229808333343,1386.1770191666658
persistent 0.25,S1,109.0,1386.49,1379.7122305031878,1393.2677694968122
persistent 0.25,S1,110.0,1393.78,1387.0442067840468,1400.5157932159532
persistent 0.25,S1,111.0,1400.55,1393.716474317563,1407.3835256824368
persistent 0.25,S1,112.0,1407.11,1400.2149962543208,1414.005003745679
persistent 0.25,S1,113.0,1414.35,1407.4387801044645,1421.2612198955353
persistent 0.25,S1,114.0,1421.34,1414.4010519419785,1428.2789480580213
persistent 0.25,S1,115.0,1428.18,1421.0682698945668,1435.2917301054333
persistent 0.25,S1,116.0,1434.92,1427.6958143881022,1442.144185611898
persistent 0.25,S1,117.0,1441.91,1434.6613399391908,1449.1586600608093
persistent 0.25,S1,118.0,1448.3,1440.996972317365,1455.603027682635
persistent 0.25,S1,119.0,1455.77,1448.3762851292806,1463.1637148707193
persistent 0.25,S1,120.0,1463.11,1455.6753550303563,1470.5446449696435
persistent 0.25,S1,121.0,1470.21,1462.6904821711641,1477.729517828836
persistent 0.25,S1,122.0,1477.61,1470.138545325309,1485.0814546746908
persistent 0.25,S1,123.0,1484.32,1476.6815159813857,1491.9584840186142
persistent 0.25,S1,124.0,1491.48,1483.873251067186,1499.086748932814
